id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
3,1,1,1,http://image.projectbaseline.com,image.projectbaseline.com,1,"e98855.dscx.akamaiedge.net,e98855.dscx.akamaiedge.net","23.1.96.32,23.43.249.81","1,1",1,80,403,Forbidden,Access Denied,AkamaiGHost,"23.1.96.0/24,23.43.249.0/24","AS20940,AS20940","AKAMAI-ASN1,AKAMAI-ASN1","日本东京都东京,日本东京都东京","阿卡迈,阿卡迈",AlienVaultQuery
4,1,1,1,https://image.projectbaseline.com,image.projectbaseline.com,1,"e98855.dscx.akamaiedge.net,e98855.dscx.akamaiedge.net","23.1.96.32,23.43.249.81","1,1",1,443,403,Forbidden,Access Denied,AkamaiGHost,"23.1.96.0/24,23.43.249.0/24","AS20940,AS20940","AKAMAI-ASN1,AKAMAI-ASN1","日本东京都东京,日本东京都东京","阿卡迈,阿卡迈",AlienVaultQuery
21,0,0,1,http://msg.projectbaseline.com,msg.projectbaseline.com,1,msg.projectbaseline.com,13.111.67.8,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='msg.projectbaseline.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fdf20381c10>, 'Connection to msg.projectbaseline.com timed out. (connect timeout=13)'))""),)",,,13.111.67.0/24,AS22606,ExactTarget Inc.,美国德克萨斯达拉斯,未知,Brute
22,0,0,1,https://msg.projectbaseline.com,msg.projectbaseline.com,1,msg.projectbaseline.com,13.111.67.8,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='msg.projectbaseline.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fdf0b278160>, 'Connection to msg.projectbaseline.com timed out. (connect timeout=13)'))""),)",,,13.111.67.0/24,AS22606,ExactTarget Inc.,美国德克萨斯达拉斯,未知,Brute
19,0,0,1,https://mta.projectbaseline.com,mta.projectbaseline.com,1,mta.projectbaseline.com,13.111.173.227,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='mta.projectbaseline.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fdf9868c0a0>, 'Connection to mta.projectbaseline.com timed out. (connect timeout=13)'))""),)",,,13.111.173.0/24,AS22606,ExactTarget Inc.,美国佐治亚亚特兰大,未知,Sublist3rQuery
20,0,0,1,http://mta.projectbaseline.com,mta.projectbaseline.com,1,mta.projectbaseline.com,13.111.173.227,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='mta.projectbaseline.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fdf20246790>, 'Connection to mta.projectbaseline.com timed out. (connect timeout=13)'))""),)",,,13.111.173.0/24,AS22606,ExactTarget Inc.,美国佐治亚亚特兰大,未知,Sublist3rQuery
7,1,1,1,http://projectbaseline.com,projectbaseline.com,0,projectbaseline.com,216.239.32.29,1,1,80,200,OK,Project Baseline by Verily | Join Clinical Trials and Research Opportunities,sffe,216.239.32.0/24,AS15169,Google,美国加利福尼亚,谷歌,CertInfo
11,1,1,1,https://projectbaseline.com,projectbaseline.com,0,projectbaseline.com,216.239.32.29,1,1,443,200,OK,Project Baseline by Verily | Join Clinical Trials and Research Opportunities,sffe,216.239.32.0/24,AS15169,Google,美国加利福尼亚,谷歌,CertInfo
17,1,1,1,https://view.projectbaseline.com,view.projectbaseline.com,1,view.projectbaseline.com,13.111.236.125,1,1,443,200,OK,Error,,13.111.224.0/20,AS396417,SFDC-IT,美国印第安纳,未知,Sublist3rQuery
18,1,1,1,http://view.projectbaseline.com,view.projectbaseline.com,1,view.projectbaseline.com,13.111.236.125,1,1,80,200,OK,Error,,13.111.224.0/20,AS396417,SFDC-IT,美国印第安纳,未知,Sublist3rQuery
2,1,1,1,https://www.projectbaseline.com,www.projectbaseline.com,1,www3.l.google.com,172.217.26.238,1,1,443,200,OK,Project Baseline by Verily | Join Clinical Trials and Research Opportunities,sffe,172.217.26.0/24,AS15169,Google,印度马哈拉施特拉孟买,谷歌,RapidDNSQuery
5,1,1,1,http://www.projectbaseline.com,www.projectbaseline.com,1,www3.l.google.com,172.217.26.238,1,1,80,200,OK,Project Baseline by Verily | Join Clinical Trials and Research Opportunities,sffe,172.217.26.0/24,AS15169,Google,印度马哈拉施特拉孟买,谷歌,RapidDNSQuery
